Date;Precipitation in inch;Soil humidity in %;Temperature of air in celcius;Temperature of soil in celcius;Wind speed in miles/hour;Relative humidity;Solar radiation in megajoule/meter
8-9-2023;0.180;21.5;19.0;24.0;1.3;99;13
9-9-2023;0.010;21.5;20.9;23.9;1.1;94;12
10-9-2023;0.180;21.3;17.8;24.0;2.0;99;15
11-9-2023;0.050;21.2;19.2;23.7;1.5;99;12
12-9-2023;0.010;21.4;15.3;23.6;1.1;99;12
13-9-2023;0.000;21.0;19.1;23.5;1.3;93;19
14-9-2023;0.650;23.9;12.9;23.2;1.1;95;16
15-9-2023;0.000;23.3;12.2;22.1;1.9;76;19
16-9-2023;0.000;22.7;12.4;21.3;1.8;81;21
17-9-2023;0.000;22.2;9.2;20.9;1.3;98;21
18-9-2023;1.170;30.5;15.5;19.6;1.6;99;4
19-9-2023;0.100;28.8;10.6;20.2;1.0;99;13
20-9-2023;0.000;27.7;8.6;19.6;1.2;99;16
21-9-2023;0.000;26.9;9.9;19.6;1.1;98;18
22-9-2023;0.000;26.0;9.3;19.3;1.6;98;19
23-9-2023;0.000;25.2;10.8;18.8;2.9;96;17
24-9-2023;0.330;25.4;15.8;18.2;4.1;87;4
25-9-2023;1.350;30.8;15.1;18.0;4.9;97;3
26-9-2023;0.190;29.6;12.9;18.3;2.9;94;6
27-9-2023;0.030;29.0;12.5;17.8;2.6;98;4
28-9-2023;0.000;27.9;10.9;18.2;2.6;83;16
29-9-2023;0.000;27.2;14.1;17.9;2.9;95;13
30-9-2023;0.100;27.2;15.9;18.2;0.6;98;5
30-9-2023;-99.9;-99.9;14.0;18.9;1.9;99;14
1-10-2023;0.000;26.8;13.7;19.1;1.7;97;17
2-10-2023;0.000;26.1;13.6;19.2;1.3;98;15
3-10-2023;0.000;25.4;15.3;19.5;1.2;98;15
4-10-2023;0.000;24.8;13.6;19.7;1.7;94;14
5-10-2023;0.000;24.1;20.1;19.4;3.6;84;14
6-10-2023;0.000;23.6;19.8;19.8;3.2;88;9
7-10-2023;0.770;28.4;19.8;19.8;3.2;88;9
8-10-2023;0.510;29.3;8.0;18.9;2.5;82;7
9-10-2023;0.000;28.3;4.1;17.3;3.5;92;9
10-10-2023;0.000;27.4;9.1;16.3;2.3;84;13
11-10-2023;0.000;26.7;8.8;16.2;2.1;94;13
12-10-2023;0.000;26.2;5.7;16.3;1.8;97;16
13-10-2023;0.000;25.6;8.5;16.1;1.2;98;10
